message,label
"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123
",malicious
"Theyre doing it to lots of places. Only hospitals and medical places are safe.
",benign
"Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?
",benign
"They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.
",benign
"Ok lor then we go tog lor...
",benign
"Re your call; You didn't see my facebook huh?
",benign
"The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...
",benign
"So when you gonna get rimac access 
",benign
"Sorry, I'll call later
",benign
"Yup... How ü noe leh...
",benign
"Sorry, I'll call later ok bye
",benign
"Ü comin to fetch us oredi...
",benign
"Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...
",benign
"Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too
",benign
"Sorry, I'll call later
",benign
"Why de. You looking good only:-)..
",benign
"Dad wanted to talk about the apartment so I got a late start, omw now
",benign
"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready
",benign
"Y so late but i need to go n get da laptop...
",benign
"Yes. Last  practice
",benign
"Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! 
",benign
"You should get more chicken broth if you want ramen unless there's some I don't know about
",benign
"Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*
",benign
"If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:)
",benign
"Oh ok no prob..
",benign
"No, I decided that only people who care about stuff vote and caring about stuff is for losers
",benign
"Cos daddy arranging time c wat time fetch ü mah...
",benign
"You intrepid duo you! Have a great time and see you both soon. 
",benign
"Ü takin linear algebra today?
",benign
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu
",malicious
"Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*
",benign
